Ticker,Stock,Secteur,Pays,Bourse de valeurs,Devise de marché,roe,de_ratio,roic,roe_avg_3y,roe_std_3y,roic_avg_3y,roic_std_3y,roic_persist_6y,roe_persist_6y,roic_downside_6y,roe_downside_6y,roic_drawdown_6y,roe_drawdown_6y,years_roic_6y,net_margin,revenue_growth_3y,assets_to_equity
"PHR","PHAROL, SGPS S.A.","","Portugal","Euronext","EUR","2.25","0.00","-3.01","10.36","17.30","-2.42","0.60","0","1","0.80","4.16","0.00","92.55","6","","","NaN"
"BMENY","MOTA ENGIL SGPS S.A.","","Portugal","Euronext","EUR","","","","","","","","","","","","","","0","","","NaN"
"COR","CORTICEIRA AMORIM, S.G.P.S., S.A.","","Portugal","Euronext","EUR","7.47","0.17","6.39","9.96","2.78","7.71","1.55","1","3","1.84","3.36","49.08","53.80","6","7.27","-6.53","NaN"
"IBS","IBERSOL, SGPS, S.A.","","Portugal","Euronext","EUR","4.60","0.91","3.49","4.24","0.33","3.58","0.11","0","2","6.02","22.95","5.68","92.42","6","2.87","12.53","NaN"
"BTGNV","GREENVOLT ENERGIAS RENOVÃ¡VEIS S.A.","","Portugal","Euronext","EUR","","","","","","","","","","","","","","0","","","NaN"
"IPR","IMPRESA, SGPS, S.A.","","Portugal","Euronext","EUR","1.27","1.52","1.85","-17.96","31.13","2.11","0.38","0","0","0.56","31.70","68.31","742.07","6","0.65","-0.64","NaN"
"EDPR","EDP RENOVÃ¡VEIS S.A.","","Portugal","Euronext","EUR","2.55","0.84","1.92","1.08","3.84","1.61","0.41","0","0","0.79","5.77","64.40","138.10","6","11.43","9.44","NaN"
"EDP","EDP, S.A.","","Portugal","Euronext","EUR","8.27","1.43","3.31","7.34","2.02","2.69","0.62","0","0","0.39","1.92","32.34","43.47","6","8.67","-1.85","NaN"
"CTT","CTT - CORREIOS DE PORTUGAL, S.A.","","Portugal","Euronext","EUR","17.22","1.73","1.09","19.75","4.79","1.46","0.59","0","5","0.14","3.83","49.07","33.74","6","4.41","14.27","NaN"
"GALP","GALP ENERGIA, SGPS, S.A.","","Portugal","Euronext","EUR","23.66","0.95","11.48","24.60","2.83","11.69","0.91","1","4","7.70","23.61","14.04","41.14","6","6.56","-3.08","NaN"
"BFCPY","FUTEBOL CLUBE DO PORTO","","Portugal","Euronext","EUR","","","","","","","","","","","","","","0","","","NaN"
"BGNVA","GREENVOLD ENERGIAS S.A.","","Portugal","Euronext","EUR","","","","","","","","","","","","","","0","","","NaN"
"CUBE","CUBE LABS S.P.A.","","Italie","MTA","EUR","11.55","1.25","5.02","13.08","1.39","5.54","0.46","0","2","0.64","1.90","14.48","19.06","6","29.50","3.41","NaN"
"CRL","CAREL INDUSTRIES S.P.A.","","Italie","MTA","EUR","-4.23","0.80","4.47","3.62","9.64","4.86","2.03","0","4","2.76","14.34","64.66","124.12","6","-3.54","-1.39","NaN"
"BST","BANCA SISTEMA S.P.A.","","Italie","MTA","EUR","17.57","0.00","","21.88","4.70","","","","4","","40.26","","223.40","0","99.37","-6.92","NaN"
"GEL","GEL S.P.A.","","Italie","MTA","EUR","-35.37","4.30","4.86","-9.67","22.86","4.07","0.87","0","0","2.29","20.62","35.39","521.07","6","-24.12","-28.36","NaN"
"BSS","BIESSE S.P.A.","","Italie","MTA","EUR","-7.99","0.69","-1.70","-3.28","6.66","-0.45","1.76","0","2","2.44","6.66","123.84","150.63","5","-2.95","-12.22","NaN"
"BRE","BREMBO N.V.","","Italie","MTA","EUR","-8.76","-1.06","5.03","-0.44","13.41","8.37","3.26","2","1","3.19","18.40","70.45","158.28","6","1.78","189.96","NaN"
"GEO","GEOX S.P.A.","","Italie","MTA","EUR","17.92","1.15","6.41","9.69","7.79","7.12","0.74","0","3","1.86","4.99","30.28","84.86","6","9.66","4.43","NaN"
"TRN","TERNA - RETE ELETTRICA NAZIONALE SPA","","Italie","MTA","EUR","22.61","4.75","3.47","14.91","6.76","3.78","0.33","0","2","1.34","12.82","15.98","48.27","6","12.86","-14.97","NaN"
"TIP","TAMBURI INVESTMENT PARTNERS S.P.A.","","Italie","MTA","EUR","","","","","","","","","","","","","","0","","","NaN"
"BRI","BRIOSCHI SVILUPPO IMMOBILIARE S.P.A.","","Italie","MTA","EUR","-13.37","0.75","4.77","4.12","16.35","8.97","5.55","2","2","1.46","11.71","68.74","165.09","6","-3.64","-5.06","NaN"
"PMT","PROMOTICA S.P.A.","","Italie","MTA","EUR","6.68","5.87","","8.38","1.76","","","","0","","4.92","","238.52","0","80.90","-24.85","NaN"
"HER","HERA S.P.A.","","Italie","MTA","EUR","12.12","1.12","4.89","13.01","0.87","5.14","0.24","0","3","1.01","1.99","34.51","23.72","6","3.92","-6.96","NaN"
"CSP","CSP INTERNATIONAL FASHION GROUP S.P.A.","","Italie","MTA","EUR","19.56","1.22","","16.50","2.69","1.18","","0","3","0.13","5.33","0.00","12.64","2","9.42","4.14","NaN"
"MARR","MARR S.P.A.","","Italie","MTA","EUR","9.19","1.50","8.52","11.64","2.22","10.44","1.72","0","2","4.74","6.13","28.04","32.08","6","1.49","0.99","NaN"
"TRAI","TRADELAB S.P.A.","","Italie","MTA","EUR","","0.14","","","","","","","","","","","","0","","","NaN"
"COSMO","FARMACOSMO S.P.A.","","Italie","MTA","EUR","-6.90","0.13","23.51","11.36","16.02","15.01","12.11","3","4","8.87","17.96","93.35","112.85","6","-1.03","231.98","NaN"
"CAI","CAIRO COMMUNICATION S.P.A.","","Italie","MTA","EUR","7.09","0.74","13.67","20.23","18.55","-29.04","49.50","1","3","50.15","4.63","4438.02","82.90","6","-8.38","62.87","NaN"
"BZU","BUZZI S.P.A.","","Italie","MTA","EUR","13.45","0.06","11.57","15.73","2.46","13.82","1.95","2","5","1.44","2.78","23.17","36.50","6","20.45","2.30","NaN"
"PRE","PREDICT S.P.A.","","Italie","MTA","EUR","-24.40","0.01","-20.06","-26.36","2.09","-22.69","2.95","0","2","30.49","11.12","5926.55","111.80","6","-43.27","106.14","NaN"
"BWZ","BEEWIZE S.P.A.","","Italie","MTA","EUR","","","","","","","","","","","","","","0","","","NaN"
"MET","MET.EXTRA GROUP S.P.A.","","Italie","MTA","EUR","12.02","0.70","0.59","10.89","5.11","0.69","0.13","0","2","0.10","3.35","24.36","50.97","2","4.50","6.74","NaN"
"MEV","MEVIM S.P.A.","","Italie","MTA","EUR","-36.64","0.40","-4.24","-56.99","20.49","-11.80","6.56","0","0","18.32","124.59","0.00","0.00","6","-22.84","-21.60","NaN"
"MFEA","MFE-MEDIAFOREUROPE N.V.","","Italie","MTA","EUR","10.00","0.78","3.06","7.47","2.56","4.21","1.02","0","1","1.06","2.13","48.40","65.61","6","7.94","19.74","NaN"
"FF","FINE FOODS & PHARMACEUTICALS NTM SPA","","Italie","MTA","EUR","-27.40","0.00","-31.52","-2.93","21.45","-1.08","27.94","1","2","23.05","19.88","234.76","317.29","6","-51.59","-49.01","NaN"
"POR","PORTOBELLO S.P.A.","","Italie","MTA","EUR","7.72","1.20","3.79","8.00","0.70","3.61","0.44","0","0","0.48","1.33","17.72","18.43","6","8.56","10.61","NaN"
"SES","SESA S.P.A.","","Italie","MTA","EUR","-29.63","0.04","-85.18","-25.10","9.46","-96.70","14.67","0","2","32.26","9.77","0.00","180.92","6","-347.81","","NaN"
"BPE","BPER BANCA SPA","","Italie","MTA","EUR","12.90","1.41","","14.69","2.50","","","","4","","5.95","","34.45","0","26.96","10.16","NaN"
"GAB","GABETTI PROPERTY SOLUTIONS S.P.A.","","Italie","MTA","EUR","15.78","0.00","","12.89","2.63","","","","3","","12.23","","156.66","0","99.32","14.27","NaN"
"PIA","PIAGGIO & C. S.P.A.","","Italie","MTA","EUR","9.85","0.00","","11.01","1.56","","","","2","","16.88","","207.35","0","68.38","-5.57","NaN"
"G","ASSICURAZIONI GENERALI S.P.A.","","Italie","MTA","EUR","22.37","0.69","13.47","25.17","5.04","12.88","0.75","3","6","2.00","2.75","0.00","28.53","6","10.88","6.52","NaN"
"FUM","FRANCHI UMBERTO MARMI S.P.A.","","Italie","MTA","EUR","-154.16","0.00","-86.22","-88.00","92.67","-57.81","61.81","1","1","173.22","102.57","758.67","960.75","6","-534.62","-26.03","NaN"
"DEA","DISTRIBUZIONE ELETTRICA ADRIATICA S.P.A.","","Italie","MTA","EUR","0.98","1.22","1.78","1.31","0.29","1.77","0.07","0","0","0.13","0.38","15.84","60.64","6","4.03","8.17","NaN"
"HQF","HIGH QUALITY FOOD S.P.A.","","Italie","MTA","EUR","4.15","0.00","9.26","-0.80","6.76","-1.96","12.42","0","0","11.35","8.22","321.10","0.00","6","44.65","-9.35","NaN"
"DIA","DIASORIN S.P.A.","","Italie","MTA","EUR","","","","","","","","","","","","","","0","","","NaN"
"DIB","DIGITAL BROS S.P.A.","","Italie","MTA","EUR","14.29","0.57","8.02","12.50","1.66","7.91","0.30","0","3","0.75","5.50","15.54","40.03","6","63.99","4.13","NaN"
"DIS","D'AMICO INTERNATIONAL SHIPPING S.A.","","Italie","MTA","EUR","12.20","0.39","5.53","6.85","4.77","4.62","1.06","0","1","1.00","3.34","0.00","8.11","6","14.22","3.06","NaN"
"DLG","DE'LONGHI S.P.A.","","Italie","MTA","EUR","15.21","0.23","14.25","15.19","0.77","13.70","0.87","5","5","1.97","2.61","39.48","49.39","6","9.00","11.08","NaN"
"VNT","VANTEA SMART S.P.A.","","Italie","MTA","EUR","35.14","1.71","12.25","43.14","7.98","12.28","0.54","5","6","0.61","18.40","33.58","80.30","6","13.20","-0.32","NaN"
"SGF","SOGEFI S.P.A.","","Italie","MTA","EUR","-11.00","0.24","-3.76","-7.68","5.13","-1.98","2.56","0","0","4.29","9.00","181.03","430.33","6","-47.26","-20.52","NaN"
"GE","GEFRAN S.P.A.","","Italie","MTA","EUR","45.23","1.08","6.31","34.09","9.73","4.31","2.15","0","4","1.01","24.76","72.34","208.89","6","18.97","-17.85","NaN"
"D","DIRECTA SIM S.P.A.","","Italie","MTA","EUR","9.64","1.46","3.85","8.02","1.41","3.25","0.56","0","1","0.62","5.54","49.62","62.19","6","18.57","7.09","NaN"
"SERI","SERI INDUSTRIAL S.P.A.","","Italie","MTA","EUR","8.36","1.57","-1.30","5.50","13.36","-2.23","1.01","0","1","1.05","4.03","0.00","51.40","6","4.89","29.51","NaN"
"GCOM","GIGLIO.COM S.P.A.","","Italie","MTA","EUR","-18.03","0.03","-108.17","-62.44","88.16","-64.89","38.49","0","1","41.22","147.13","0.00","1949.08","6","","","NaN"
"DAL","DATALOGIC S.P.A.","","Italie","MTA","EUR","27.69","0.97","5.65","35.33","14.56","5.61","0.05","0","4","5.60","481.05","1.07","49.75","6","7.90","4.48","NaN"
"HIK","HAIKI COBAT S.P.A. SOCIETA BENEFIT","","Italie","MTA","EUR","16.52","0.62","10.67","14.21","3.54","11.62","0.98","3","4","1.55","6.43","31.27","65.28","6","12.15","7.93","NaN"
"DAN","DANIELI & C. OFFICINE MECCANICHE S.P.A.","","Italie","MTA","EUR","8.21","3.91","3.04","2.66","5.54","3.30","0.22","0","0","0.35","9.35","35.86","263.98","6","1.36","-15.71","NaN"
"DDM","DEDEM S.P.A.","","Italie","MTA","EUR","","","","","","","","","","","","","","0","","","NaN"
"DBA","DBA GROUP S.P.A.","","Italie","MTA","EUR","","","","","","","","","","","","","","0","","","NaN"
"PIRC","PIRELLI & C. S.P.A.","","Italie","MTA","EUR","8.58","0.46","4.64","8.74","0.20","4.55","0.55","0","0","2.08","4.45","8.12","4.24","6","7.73","1.59","NaN"
"SFER","SALVATORE FERRAGAMO S.P.A.","","Italie","MTA","EUR","-8.11","1.16","-1.99","-4.92","7.36","-1.19","3.42","0","0","3.52","7.21","156.48","193.46","6","-5.03","-8.10","NaN"
"SFL","SAFILO GROUP S.P.A.","","Italie","MTA","EUR","-2.53","2.67","3.11","5.80","7.51","4.71","1.56","0","3","1.82","23.22","50.00","112.93","6","-3.68","-1.32","NaN"
"GAMB","GAMBERO ROSSO S.P.A.","","Italie","MTA","EUR","-28.49","1.14","10.72","4.86","29.13","18.28","6.61","5","4","8.29","29.55","57.17","164.33","6","-19.90","23.40","NaN"
"BMPS","BANCA MONTE DEI PASCHI DI SIENA S.P.A.","","Italie","MTA","EUR","12.95","1.71","","18.00","5.03","","","","3","","23.21","","149.03","0","54.21","12.07","NaN"
"TSL","TESSELLIS S.P.A.","","Italie","MTA","EUR","","","","","","","","","","","","","","0","","","NaN"
"GAIN","GAIN360 S.P.A.","","Italie","MTA","EUR","31.65","0.84","","21.04","9.54","","","","4","","5.40","","67.50","0","104.08","49.86","NaN"
"HLX","HELYX INDUSTRIES S.P.A.","","Italie","MTA","EUR","1.99","0.40","3.04","1.65","2.22","3.33","0.88","0","0","2.55","4.04","366.67","582.61","6","2.39","0.07","NaN"
"TISG","THE ITALIAN SEA GROUP S.P.A.","","Italie","MTA","EUR","24.55","0.50","10.24","26.37","3.80","11.46","1.34","2","5","6.82","13.90","25.85","20.14","6","9.28","11.96","NaN"
"FMNB","LEONARDO S.P.A.","","Allemagne","XETR","EUR","12.24","0.76","","12.64","1.53","","","","4","","0.69","","28.45","0","28.95","2.45","NaN"
"RMT","RIBA MUNDO TECNOLOGIA S.L.","","Italie","MTA","EUR","14.66","0.03","","13.86","1.50","","","","4","","19.63","","213.01","0","98.95","9.54","NaN"
"TLS","TELESIA S.P.A.","","Italie","MTA","EUR","-32.76","0.08","-21.12","-30.08","8.30","-29.41","7.94","0","0","3.88","4.85","9894.87","782.34","6","-22.18","6.47","NaN"
"RN","RISANAMENTO S.P.A.","","Italie","MTA","EUR","-164.24","0.53","-63.56","-73.28","93.47","-20.76","37.44","0","1","35.76","88.90","1182.79","2981.92","6","-35414.93","-39.82","NaN"
"GML","GM LEATHER S.P.A.","","Italie","MTA","EUR","","0.00","","-6.15","0.78","-5.29","0.28","0","0","4.93","5.30","0.00","0.00","5","","","NaN"
"RAD","RADICI PIETRO INDUSTRIES & BRANDS S.P.A.","","Italie","MTA","EUR","14.08","2.79","4.14","4.34","14.53","3.52","0.54","0","1","0.78","12.09","37.40","274.58","6","4.97","18.21","NaN"
"RACE","FERRARI N.V.","","Italie","MTA","EUR","39.49","0.74","21.45","44.50","5.10","23.29","2.37","6","6","2.62","3.93","17.40","20.53","6","22.38","9.40","NaN"
"GSP","GAS PLUS S.P.A.","","Italie","MTA","EUR","-23.94","0.83","-3.57","-31.33","12.67","-5.89","2.90","0","0","9.69","13.51","0.00","0.00","6","","","NaN"
"GT","GT TALENT GROUP S.P.A.","","Italie","MTA","EUR","-40.92","2.13","3.21","-17.68","21.41","3.04","0.24","0","1","2.54","27.76","49.91","321.43","6","-9.30","-4.55","NaN"
"TMP","TMP GROUP S.P.A.","","Italie","MTA","EUR","19.50","0.60","","10.42","9.00","","","","3","","5.90","","88.14","0","63.40","8.58","NaN"
"EM","EMAK S.P.A.","","Italie","MTA","EUR","5.05","0.93","5.21","4.82","2.41","5.25","1.43","0","1","2.78","3.71","66.08","83.32","6","2.31","4.00","NaN"
"RKT","ROCKET SHARING COMPANY S.P.A.","","Italie","MTA","EUR","-1.47","0.68","","0.40","6.21","","","","2","","8.72","","103.90","0","-3.74","31.00","NaN"
"CMTL","COMTEL S.P.A.","","Italie","MTA","EUR","-39.81","0.85","-5.82","-21.30","17.60","-2.45","2.93","0","0","3.00","18.11","270.18","3210.16","6","-31.09","-4.70","NaN"
"AAT","AA TECH S.P.A.","","Italie","MTA","EUR","6.44","1.56","3.64","6.12","0.51","4.12","0.45","0","0","0.81","1.81","19.82","0.00","6","16.36","-0.56","NaN"
"RDF","REDELFI S.P.A.","","Italie","MTA","EUR","","0.81","4.22","5.57","3.20","5.16","0.82","0","1","1.51","24.71","26.09","85.18","6","","7.54","NaN"
"RCS","RCS MEDIAGROUP S.P.A.","","Italie","MTA","EUR","15.12","0.45","","11.95","5.69","","","","3","","21.84","","216.00","0","99.91","69.32","NaN"
"ABT","ABITARE IN S.P.A.","","Italie","MTA","EUR","12.96","0.26","9.57","19.66","9.80","9.49","0.80","2","6","1.01","3.29","34.86","58.07","6","14.72","5.13","NaN"
"CLF","CALEFFI S.P.A.","","Italie","MTA","EUR","-21.60","1.15","-6.19","-8.49","13.61","-1.48","5.18","1","2","5.42","14.65","129.76","128.90","6","-7.67","-8.02","NaN"
"CLI","CENTRALE DEL LATTE D'ITALIA S.P.A.","","Italie","MTA","EUR","-6.59","1.22","2.52","-13.59","8.64","2.58","0.12","0","0","0.18","9.99","14.94","352.88","6","-36.01","-3.07","NaN"
"RAT","RATTI S.P.A.","","Italie","MTA","EUR","8.28","0.08","","5.63","2.35","","","","1","","1.98","","71.43","0","12.16","27.15","NaN"
"RES","RECUPERO ETICO SOSTENIBILE S.P.A.","","Italie","MTA","EUR","2.95","0.07","3.18","10.80","9.08","10.83","9.60","2","2","10.52","22.99","88.57","89.87","6","1.97","0.28","NaN"
"FILA","F.I.L.A. - FABBRICA ITALIANA LAPIS ED AFFINI S.P.A.","","Italie","MTA","EUR","2.73","0.52","5.43","17.27","16.81","6.86","1.39","0","2","2.12","5.39","33.86","92.35","6","2.89","-14.30","NaN"
"GPI","GROUP 1 AUTOMOTIVE INC","","Italie","MTA","EUR","11.29","2.10","7.73","17.81","6.60","9.60","2.03","2","5","1.90","6.91","49.54","69.48","6","1.44","12.38","NaN"
"REY","REPLY S.P.A.","","Italie","MTA","EUR","18.09","0.12","12.31","17.94","0.23","12.28","1.65","2","6","0.72","0.35","11.50","17.81","6","10.31","7.55","NaN"
"ELSA","ELSA SOLUTIONS S.P.A.","","Italie","MTA","EUR","14.06","0.12","9.18","13.72","1.79","8.94","0.31","0","2","2.81","5.10","40.07","56.46","6","4.96","7.42","NaN"
"GRAL","GRIFAL S.P.A.","","Italie","MTA","EUR","-16.07","0.02","-18.94","-37.65","25.59","-17.26","2.92","0","2","247.98","169.82","0.00","1243.98","6","-277.47","25.73","NaN"
"MAPS","MAPS S.P.A.","","Italie","MTA","EUR","2.59","0.20","6.38","-0.31","12.92","6.63","3.96","1","2","11.57","44.37","112.54","135.48","6","1.87","-3.60","NaN"
"WBS","WEBSOLUTE S.P.A.","","Italie","MTA","EUR","10.77","0.39","","9.92","1.14","","","","1","","2.44","","29.55","0","34.75","4.32","NaN"
"COP","COPERNICO SIM S.P.A.","","Italie","MTA","EUR","12.36","0.36","6.45","17.03","5.13","9.17","2.93","2","5","7.76","16.51","69.59","69.10","6","13.55","2.47","NaN"
"LTMC","LOTTOMATICA GROUP S.P.A.","","Italie","MTA","EUR","38.14","5.45","7.99","26.60","10.21","7.18","0.70","0","4","4.60","67.79","0.00","85.91","6","8.00","16.66","NaN"
"CBB","CLEANBNB S.P.A.","","Italie","MTA","EUR","5.40","0.03","4.16","16.41","10.79","7.52","4.19","1","2","21.55","154.76","65.96","79.98","6","0.63","15.70","NaN"
"KK","KRUSO KAPITAL S.P.A.","","Italie","MTA","EUR","17.67","0.61","11.64","7.05","10.16","5.67","5.61","1","2","4.45","6.24","96.27","116.05","6","2.58","10.16","NaN"
"PSQ","PASQUARELLI AUTO S.P.A.","","Italie","MTA","EUR","","","","","","","","","","","","","","0","","","NaN"
"AIM","4AIM SICAF S.P.A.","","Italie","MTA","EUR","251.38","-0.50","-129.76","780.76","748.66","-171.12","58.49","0","2","41.36","529.38","0.00","80.81","2","-15861.36","-48.24","NaN"
"TIT","TELECOM ITALIA S.P.A.","","Italie","MTA","EUR","3.87","0.98","2.17","-1.53","5.04","2.00","0.16","0","1","0.49","17.41","52.88","229.54","6","3.78","-8.20","NaN"
"PRY","PRYSMIAN S.P.A.","","Italie","MTA","EUR","21.61","0.78","7.55","17.29","3.87","7.43","0.27","0","4","2.63","4.62","6.56","4.78","6","6.59","13.13","NaN"
"MAIRE","MAIRE S.P.A.","","Italie","MTA","EUR","40.22","1.61","9.23","32.80","8.60","7.38","2.16","0","6","1.36","5.49","0.00","0.00","6","4.09","28.23","NaN"
"TPRO","TECHNOPROBE S.P.A.","","Italie","MTA","EUR","7.97","0.01","20.89","8.87","3.30","16.32","5.51","5","4","15.91","10.28","81.10","80.50","6","15.73","23.91","NaN"
"TPS","TECHNICAL PUBLICATIONS SERVICE INC.","","Italie","MTA","EUR","64.15","-1.68","-6.56","313.11","650.00","-40.27","30.82","0","2","10.98","128.89","0.00","93.90","4","-61.49","13.58","NaN"
"TGYM","TECHNOGYM S.P.A.","","Italie","MTA","EUR","32.09","0.17","21.81","25.86","5.48","17.78","3.59","4","6","2.97","5.23","0.00","7.52","6","11.38","12.31","NaN"
"SBC","SICILY BY CAR S.P.A.","","Italie","MTA","EUR","22.27","0.20","25.67","26.82","4.23","28.11","8.73","3","3","12.76","14.10","32.09","27.32","4","29.40","-5.29","NaN"
"ENEL","ENEL S.P.A.","","Italie","MTA","EUR","11.63","1.46","1.32","12.96","4.00","3.53","2.00","0","1","1.32","1.56","74.71","33.39","6","8.27","-14.78","NaN"
"WBD","WEBUILD S.P.A.","","Italie","MTA","EUR","2.08","0.88","0.71","-10.87","15.62","0.06","0.63","0","0","2.25","19.57","148.44","357.86","6","2.01","-5.00","NaN"
"CEM","CEMENTIR HOLDING N.V.","","Italie","MTA","EUR","13.88","1.11","","14.87","0.88","","","","3","","3.84","","10.74","0","29.94","0.28","NaN"
"ENAV","ENAV S.P.A.","","Italie","MTA","EUR","7.77","0.50","6.45","9.11","1.26","7.04","0.91","0","0","1.54","2.10","20.17","24.34","6","9.48","0.97","NaN"
"TEN","TENARIS S.A.","","Italie","MTA","EUR","9.09","0.96","4.85","12.97","5.46","6.06","1.82","0","2","3.46","13.02","121.74","671.57","6","20.65","-5.25","NaN"
"GM","GENTILI MOSCONI S.P.A.","","Italie","MTA","EUR","4.32","2.08","1.22","9.08","4.84","3.21","1.72","0","4","1.75","5.83","71.50","74.91","6","1.50","3.76","NaN"
"ADV","ADVENTURE SPA","","Italie","MTA","EUR","-34.96","3.08","0.50","-25.06","17.23","0.52","1.10","0","0","1.15","31.77","120.36","3297.79","6","-6.43","-8.43","NaN"
"RWAY","RAI WAY S.P.A.","","Italie","MTA","EUR","6.81","0.93","","9.52","3.80","","","","1","","1.79","","50.87","0","71.92","-7.95","NaN"
"CE","CREDITO EMILIANO S.P.A.","","Italie","MTA","EUR","-22.84","2.89","2.93","-5.70","29.84","3.51","0.54","1","4","1.69","45.10","83.54","144.99","6","-12.06","-6.60","NaN"
"COM","COMER INDUSTRIES S.P.A.","","Italie","MTA","EUR","","","","","","","","","","","","","","0","","","NaN"
"AEF","AEFFE S.P.A.","","Italie","MTA","EUR","31.21","0.09","","15.84","13.41","","","","1","","25.22","","414.57","0","99.09","79.04","NaN"
"S3D","SOLID WORLD GROUP S.P.A.","","Italie","MTA","EUR","-21.29","1.04","-1.65","-17.60","3.67","1.01","3.16","0","0","2.64","9.66","136.59","1090.23","6","-4.70","-3.85","NaN"
"TFIN","TREVI FINANZIARIA INDUSTRIALE S.P.A.","","Italie","MTA","EUR","2.77","0.42","","3.10","1.46","","","","1","","3.84","","87.16","0","5.98","0.75","NaN"
"FRE","FRENDY ENERGY S.P.A.","","Italie","MTA","EUR","6.66","0.60","4.10","0.53","6.66","2.88","1.64","0","0","1.93","8.27","80.97","160.37","6","5.83","1.28","NaN"
"REC","RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA S.P.A.","","Italie","MTA","EUR","24.71","0.24","33.61","29.47","4.15","53.85","21.11","6","6","20.46","8.01","59.90","40.93","6","17.52","-6.00","NaN"
"ORS","ORSERO S.P.A.","","Italie","MTA","EUR","-19.35","0.00","-16.71","-10.91","7.31","-8.64","7.00","0","0","5.72","28.76","0.00","0.00","6","","","NaN"
"IVN","IVISION TECH S.P.A.","","Italie","MTA","EUR","3.70","0.22","-1.18","6.10","2.97","-1.71","0.54","0","1","0.84","3.83","0.00","77.76","6","51.63","","NaN"
"OROX","GENS AUREA S.P.A.","","Italie","MTA","EUR","97.89","0.84","63.76","80.05","25.23","52.13","16.45","2","2","11.63","17.84","0.00","0.00","2","8.12","95.30","NaN"
"B","BASTOGI S.P.A.","","Italie","MTA","EUR","20.68","0.15","15.48","13.23","10.53","10.00","7.26","2","2","1.64","3.96","65.15","86.34","6","42.19","241.86","NaN"
"IMS","IMMSI S.P.A.","","Italie","MTA","EUR","2.92","3.28","2.62","8.05","5.38","3.88","1.35","0","2","0.77","4.04","51.48","81.73","6","0.67","-11.23","NaN"
"IP","INTERPUMP GROUP S.P.A.","","Italie","MTA","EUR","-30.57","0.70","-0.03","-6.80","20.65","1.72","1.67","0","2","1.83","21.44","100.46","247.68","6","-14.88","11.78","NaN"
"MONC","MONCLER S.P.A.","","Italie","MTA","EUR","16.85","0.29","16.50","18.56","1.60","17.24","0.67","6","6","1.13","1.24","12.41","24.98","6","20.01","2.45","NaN"
"AZM","AZIMUT HOLDING S.P.A.","","Italie","MTA","EUR","-4.67","0.01","-2.38","-2.87","2.59","-2.97","0.59","0","0","3.37","1.96","0.00","232.29","6","-682.51","61.32","NaN"
"TD","TRENDEVICE S.P.A.","","Italie","MTA","EUR","19.45","3.46","","11.84","6.76","","","","4","","4.71","","60.30","0","33.51","9.10","NaN"
"AMP","AMPLIFON SPA","","Italie","MTA","EUR","60.51","0.90","2.05","62.91","4.68","2.04","0.02","0","6","0.02","19.71","0.00","11.42","2","19.28","9.07","NaN"
"FBK","FINECOBANK BANCA FINECO S.P.A.","","Italie","MTA","EUR","6.98","0.09","","7.77","0.84","","","","1","","2.01","","50.04","0","21.85","8.38","NaN"
"SOS","SOSTRAVEL.COM S.P.A.","","Italie","MTA","EUR","-22.67","0.00","-23.32","-9.33","11.60","-11.51","10.75","0","0","30.70","22.05","0.00","704.92","6","-63.09","29.21","NaN"
"ARIS","ARISTON HOLDING N.V.","","Italie","MTA","EUR","6.28","0.36","9.27","5.12","2.16","6.33","2.69","0","0","2.48","1.95","30.37","59.29","6","8.56","53.81","NaN"
"FM","FIERA MILANO S.P.A.","","Italie","MTA","EUR","-0.47","0.51","1.99","-4.12","5.79","2.85","0.96","0","0","1.01","5.85","68.86","206.72","6","-1.24","-9.93","NaN"
"BAMI","BANCO BPM S.P.A.","","Italie","MTA","EUR","13.93","1.84","","12.65","1.78","","","","2","","5.16","","0.00","0","31.67","13.04","NaN"
"IGD","IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ S.P.A.","","Italie","MTA","EUR","12.26","0.00","","10.95","3.98","","","","3","","5.95","","89.47","0","99.13","39.87","NaN"
"IGV","I GRANDI VIAGGI S.P.A.","","Italie","MTA","EUR","","","","","","","","","","","","","","0","","","NaN"
"ANIM","ANIMA HOLDING S.P.A.","","Italie","MTA","EUR","15.01","0.32","13.71","13.41","2.49","11.40","2.53","2","3","1.82","3.28","31.54","50.87","6","19.87","15.80","NaN"
"NWL","NEWPRINCES S.P.A.","","Italie","MTA","EUR","-11.09","2.18","4.07","-10.05","2.34","3.50","0.81","0","1","1.45","6.33","68.23","175.78","6","-3.96","-5.88","NaN"
"EAV","EMMA VILLAS S.P.A.","","Italie","MTA","EUR","0.77","1.44","1.02","-3.06","21.45","0.00","6.84","0","1","6.67","20.58","216.27","261.44","5","0.09","7.27","NaN"
"NXT","NEXT GEOSOLUTIONS EUROPE S.P.A.","","Italie","MTA","EUR","29.57","0.00","28.20","45.42","19.50","32.67","5.22","5","6","13.85","8.61","67.69","56.00","6","16.46","19.33","NaN"
"FCT","FINCANTIERI S.P.A.","","Italie","MTA","EUR","4.34","0.03","","7.40","3.52","","","","0","","5.44","","131.09","0","95.22","-39.26","NaN"
"IOT","SECO S.P.A.","","Italie","MTA","EUR","-0.73","0.05","-1.59","-15.76","15.11","-9.11","7.20","0","1","13.38","78.23","0.00","494.58","6","-0.56","31.41","NaN"
